Timestamp,PC or Console,Type of PC,Type of Console,Daily Usage (Hours),Video Game Usage (Hours)
4/8/2025 23:55:59,PC,PC,,8,4
4/9/2025 0:05:05,PC,Laptop,,3,2
4/9/2025 8:24:30,Console,,Xbox,2,0
4/9/2025 12:13:03,PC,Desktop,,3,1
4/9/2025 12:13:15,PC,Laptop,,7,1
4/9/2025 12:23:06,PC,PC,,11,9
4/9/2025 12:58:20,PC,Laptop,,7,4
4/9/2025 17:38:17,PC,PC,,8,5
4/10/2025 11:07:40,PC,Laptop,,6,2
4/10/2025 11:16:42,PC,Laptop,,8,3
4/10/2025 11:16:43,PC,PC,,3,1
4/10/2025 11:37:44,PC,Laptop,,4,2
4/10/2025 11:44:11,Console,,Playstation,2.5,2