Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
01/16/25,Thursday,60.43,Autopay,Bills,Debit,Need
01/16/25,Thursday,40.44,Uber,Travel,Debit,Need
01/16/25,Thursday,95.00,Braid Appt.,Entertainment and Recreation,Debit,Want
01/17/25,Friday,30.06,Gym Member,Entertainment and Recreation,Debit,Need
01/17/25,Friday,507.43,Transfer,Financial goals and Savings,Debit,Savings
01/18/25,Saturday,38.15,Hair Care,Entertainment and Recreation,Debit,Need
01/19/25,Sunday,36.18,SuperMarket,Food,Debit,Want
01/22/25,Wednesday,5.99,Spotify Premium,Entertainment and Recreation,Debit,Want
01/22/25,Wednesday,39.20,UberEats,Food,Debit,Want
01/23/25,Thursday,21.09,Fast Food,Food,Debit,Want
01/23/25,Thursday,37.00,RoundOne,Entertainment and Recreation,Debit,Want
01/24/25,Friday,37.12,Amazon,Entertainment and Recreation,Debit,Need
01/27/25,Monday,25.23,Amazon,Entertainment and Recreation,Debit,Want
01/29/25,Wednesday,15.62,Skyline Food,Food,Debit,Want
01/30/25,Thursday,443.87,Paycheck,Financial goals and Savings,Debit,Savings
01/31/25,Friday,60.43,Autopay,Bills,Debit,Need
02/01/25,Saturday,133.47,Transfer,Financial goals and Savings,Debit,Savings
02/02/25,Sunday,19.99,Games,Entertainment and Recreation,Debit,Want